ward,AUSPICE,bldg_type,cwelcc_flag,TOTSPACE,subsidy
16,Non Profit Agency,Public Elementary School,1,95,1
6,Non Profit Agency,Public Elementary School,1,156,1
4,Non Profit Agency,Public Elementary School,1,200,1
19,Non Profit Agency,Public Elementary School,1,136,1
17,Non Profit Agency,Public Elementary School,1,85,1
9,Non Profit Agency,Community/Recreation Centre,1,24,1
7,Non Profit Agency,High Rise Apartment,1,149,1
11,Non Profit Agency,Public Elementary School,1,169,1
4,Non Profit Agency,Public Elementary School,1,176,1
19,Non Profit Agency,Catholic Elementary (French),1,141,1
15,Non Profit Agency,Hospital/Health Centre,1,25,1
11,Non Profit Agency,Public Elementary School,1,99,1
8,Non Profit Agency,Public Elementary School,1,143,1
18,Non Profit Agency,Public Elementary School,1,113,1
10,Non Profit Agency,Office Building,1,76,1
15,Non Profit Agency,Other,1,67,1
11,Non Profit Agency,Public Elementary School,1,117,1
7,Non Profit Agency,Public Elementary School,1,95,1
13,Non Profit Agency,Public Elementary School,1,140,1
12,Non Profit Agency,Public Elementary School,1,16,1
7,Non Profit Agency,Place of Worship,1,39,1
14,Non Profit Agency,Place of Worship,1,73,1
16,Non Profit Agency,Place of Worship,1,67,1
11,Non Profit Agency,Public Elementary School,1,111,1
17,Non Profit Agency,Public Elementary School,1,107,1
10,Non Profit Agency,Public Elementary School,1,136,1
16,Non Profit Agency,Public Elementary School,1,128,1
11,Non Profit Agency,Other,1,82,1
7,Non Profit Agency,Public Elementary School,1,92,1
14,Non Profit Agency,Public Elementary School,1,242,1
11,Non Profit Agency,Public Elementary School,1,159,1
6,Non Profit Agency,Public Elementary School,1,181,1
8,Non Profit Agency,Public High School,1,49,1
17,Commercial Agency,High Rise Apartment,1,50,1
17,Non Profit Agency,Public Elementary School,1,144,1
6,Non Profit Agency,Other,1,41,1
16,Non Profit Agency,Public High School,1,36,1
4,Non Profit Agency,Place of Worship,1,54,1
11,Non Profit Agency,Public Elementary School,1,134,1
